App Name,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Released,Last Updated,Content Rating,Ad Supported,In App Purchases,Editors Choice,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Tableau Mobile,Business,3.4,809,"100,000+",100000,314109,True,0.0,USD,36M,7.0 and up,"Tableau Software, LLC",2-Jul-12,12-Nov-20,Everyone,False,False,False,,,,,,,,,,
Annotate - Image Annotation Tool,Tools,3.7,336,"10,000+",10000,45649,True,0.0,USD,3.5M,4.4 and up,RHS Apps,8-Jul-18,28-May-19,Everyone,False,True,False,,,,,,,,,,
QR Code Generator | QR Scanner | Creator | TIGER,Tools,4.6,1377,"10,000+",10000,45119,True,0.0,USD,29M,5.0 and up,QRTIGER,13-Apr-20,22-Oct-20,Everyone,False,False,False,,,,,,,,,,
Qr code reader Pro,Productivity,4.8,1703,"10,000+",10000,33107,False,3.99,USD,16M,4.1 and up,BACHA Soft,30-May-18,30-May-18,Everyone,False,False,False,,,,,,,,,,
Altimeter Pro,Tools,3.8,144,"5,000+",5000,7771,False,1.36,USD,4.7M,4.0 and up,Stéphane Sandon,6-Mar-14,5-Sep-19,Everyone,False,False,False,,,,,,,,,,
QR code reader & Barcode scanner (no ads),Tools,4.8,492,"10,000+",10000,22185,True,0.0,USD,1.1M,5.0 and up,QR Easy,11-Sep-20,20-Nov-20,Everyone,False,False,False,,,,,,,,,,
Beurer EMS HomeStudio,Sports,2.4,20,"1,000+",1000,2406,True,0.0,USD,113M,5.0 and up,Beurer GmbH,2-Apr-19,26-Aug-20,Everyone,False,False,False,,,,,,,,,,
arboleaf,Health & Fitness,3.9,287,"10,000+",10000,47246,True,0.0,USD,16M,4.3 and up,Arboleaf Corporation,20-Jun-18,14-Oct-20,Everyone,False,False,False,,,,,,,,,,
Hass NFC,House & Home,4.8,19,500+,500,857,False,1.99,USD,1.4M,4.4 and up,Gerben Bol,4-Mar-19,14-May-20,Everyone,False,False,False,,,,,,,,,,
Xelion7,Communication,3.0,45,"10,000+",10000,15357,True,0.0,USD,76M,6.0 and up,Xelion B.V.,3-Oct-18,26-Nov-20,Everyone,False,False,False,,,,,,,,,,
Password Manager SafeInCloud Pro,Productivity,4.8,25220,"100,000+",100000,216319,False,7.99,USD,Varies with device,Varies with device,SafeInCloud,14-May-12,19-Nov-20,Everyone,False,False,False,,,,,,,,,,
SecureSafe,Productivity,4.4,7930,"100,000+",100000,311259,True,0.0,USD,65M,5.0 and up,DSwiss Ltd.,13-Jul-12,21-Oct-20,Everyone,False,False,False,,,,,,,,,,
Factorial HR,Business,2.7,73,"10,000+",10000,16790,True,0.0,USD,48M,5.0 and up,Factorial Team,7-Oct-19,6-Oct-20,Everyone,False,False,False,,,,,,,,,,
Cezanne HR for Mobile,Business,3.5,87,"10,000+",10000,22327,True,0.0,USD,16M,4.1 and up,Cezanne HR,27-Sep-13,11-Nov-20,Everyone,False,False,False,,,,,,,,,,
Laserfiche,Business,4.1,77,"10,000+",10000,17128,True,0.0,USD,106M,4.3 and up,Laserfiche Mobile Team,24-Dec-13,29-Oct-20,Everyone,False,False,False,,,,,,,,,,
ScannerHD - Scanner to scan PDF,Tools,4.4,950,"100,000+",100000,139876,True,0.0,USD,28M,4.3 and up,HiThink Financial Services inc.,15-Apr-19,14-Sep-20,Everyone,True,True,False,,,,,,,,,,
"PDF Merge: Create & Combine Text, Image & Web page",Productivity,4.4,13071,"500,000+",500000,770958,True,0.0,USD,5.4M,6.0 and up,Benzveen,8-Dec-18,28-Jul-20,Everyone,True,True,False,,,,,,,,,,
Salesforce,Business,4.2,31637,"1,000,000+",1000000,3196122,True,0.0,USD,213M,6.0 and up,"Salesforce.com, inc.",7-Mar-11,19-Nov-20,Everyone,False,False,False,,,,,,,,,,
WiFi QR Code Generator and Scanner,Tools,4.7,411,"10,000+",10000,12692,True,0.0,USD,29M,5.0 and up,QRTIGER,22-Apr-20,22-Oct-20,Everyone,False,False,False,,,,,,,,,,
Scan to Web,Business,4.0,84,"10,000+",10000,26804,True,0.0,USD,13M,7.0 and up,Berry Wing LLC Android,16-May-14,13-Nov-20,Everyone,False,True,False,,,,,,,,,,
Accurate Compass,Maps & Navigation,4.3,10962,"500,000+",500000,881280,True,0.0,USD,6.9M,4.0 and up,PVDApps,2-Apr-13,22-Apr-19,Everyone,True,False,False,,,,,,,,,,
Barcode Scanner+ (Plus),Shopping,3.9,2749,"500,000+",500000,829973,True,0.0,USD,Varies with device,Varies with device,Sean Owen (of ZXing Team),14-Oct-11,17-Sep-16,Everyone,False,False,False,,,,,,,,,,
QR Scanner,Tools,4.5,612,"100,000+",100000,446997,True,0.0,USD,12M,7.0 and up,1MB,15-Aug-16,20-Oct-20,Everyone,True,False,False,,,,,,,,,,
Loftilla Plus,Health & Fitness,3.4,36,"10,000+",10000,23592,True,0.0,USD,19M,4.3 and up,Arboleaf Corporation,15-Jan-20,18-Aug-20,Everyone,False,False,False,,,,,,,,,,
Livongo,Health & Fitness,4.2,2740,"100,000+",100000,229432,True,0.0,USD,52M,5.1 and up,"Livongo Health, Inc",15-Feb-16,22-Oct-20,Everyone,False,False,False,,,,,,,,,,
